Type,Name,Flavor Profile,Image,Size,Strength
Salt Nic,Juice Head Freeze Strawberry Kiwi,"Strawberry, Kiwi, Ice, Menthol, Fruit",juice-head-freeze-strawberry-kiwi.jpg,30ml,
Salt Nic,Juice Head Freeze Watermelon Lime,"Watermelon, Lime, Ice, Menthol, Fruit",juice-head-freeze-watermelon-lime.jpg,30ml,
Salt Nic,Juice Head R Blueberry Lemon,"Blueberry, Lemon, Fruit",juice-head-r-blueberry-lemon.jpg,30ml,
Salt Nic,Juice Head R Guava Peach,"Guava, Peach, Fruit",juice-head-r-guava-peach.jpg,30ml,
Salt Nic,Juice Head R Mango Strawberry,"Mango, Strawberry, Fruit",juice-head-r-mango-strawberry.jpg,30ml,
Salt Nic,Juice Head R Orange Mango,"Orange, Mango, Fruit",juice-head-r-orange-mango.jpg,30ml,
Salt Nic,Juice Head R Peach Pear,"Peach, Pear, Fruit",juice-head-r-peach-pear.jpg,30ml,
Salt Nic,Juice Head R Pineapple Grapefruit,"Pineapple, Grapefruit, Fruit",juice-head-r-pineapple-grapefruit.jpg,30ml,
Salt Nic,Juice Head R Pineapple Guava,"Pineapple, Guava, Fruit",juice-head-r-pineapple-guava.jpg,30ml,
Salt Nic,Juice Head R Raspberry Lemonade,"Raspberry, Lemon, Lemonade, Fruit",juice-head-r-raspberry-lemonade.jpg,30ml,
Salt Nic,Juice Head R Strawberry Kiwi,"Strawberry, Kiwi, Fruit",juice-head-r-strawberry-kiwi.jpg,30ml,
Salt Nic,Juice Head R Watermelon Lime,"Watermelon, Lime, Fruit",juice-head-r-watermelon-lime.jpg,30ml,
Salt Nic,Kaleidoscopic Clouds Looking Glass,"Strawberry, Kiwi, Watermelon, Candy, Fruit",kaleidoscopic-clouds-looking-glass.jpg,30ml,
Salt Nic,Kaleidoscopic Clouds Optical Illusion,"Mango, Melon, Fruit, Candy",kaleidoscopic-clouds-optical-illusion.jpg,30ml,
Salt Nic,Kaleidoscopic Clouds Ruby's Eyes,"Raspberry, Pomagranate, Candy, Fruit",kaleidoscopic-clouds-ruby-s-eyes.jpg,30ml,
Salt Nic,Kaleidoscopic Clouds Sunset,"Raspberry, Orange, Fruit",kaleidoscopic-clouds-sunset.jpg,30ml,
Salt Nic,Keep it 100 Nana Foster,"Banana, Cinnamon, Sugar, Cinnamon Sugar, Vanilla, Dessert",keep-it-100-nana-foster.jpg,30ml,
Salt Nic,Keep it 100 OG Blue,"Blue Raspberry, Fruit, Blue Razz, Candy, Strawberry",keep-it-100-og-blue.jpg,30ml,
Salt Nic,Keep it 100 OG Pink,"Strawberry, Fruit, Candy",keep-it-100-og-pink.jpg,30ml,
